Pic Link,Dex Number,Name,Type 1,Type 2,Mega,Form,Evolves,Hp,Attack,Defense,Sp. Attk,Sp. Def,Speed,Weaknesses,,,,,,
https://cdn.bulbagarden.net/upload/thumb/2/21/001Bulbasaur.png/250px-001Bulbasaur.png,1,Bulbasaur,Grass,Poison,$,$,16,45,49,49,65,65,45,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/7/73/002Ivysaur.png/250px-002Ivysaur.png,2,Ivysaur,Grass,Poison,$,$,32,60,62,63,80,80,60,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/a/ae/003Venusaur.png/250px-003Venusaur.png,3,Venusaur,Grass,Poison,Yes,$,,80,82,83,100,100,80,Flying,Fire,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/7/73/004Charmander.png/250px-004Charmander.png,4,Charmander,Fire,$,$,$,16,39,52,43,60,50,65,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/4/4a/005Charmeleon.png/250px-005Charmeleon.png,5,Charmeleon,Fire,$,$,$,36,58,64,58,80,65,80,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/7/7e/006Charizard.png/250px-006Charizard.png,6,Charizard,Fire,Flying,Yes X and Y,$,,78,84,78,109,85,100,Rock,Water,Electric,,,,
https://cdn.bulbagarden.net/upload/thumb/3/39/007Squirtle.png/250px-007Squirtle.png,7,Squirtle,Water,$,$,$,16,44,48,65,50,64,43,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/0/0c/008Wartortle.png/250px-008Wartortle.png,8,Wartortle,Water,$,$,$,36,59,63,80,65,80,58,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/0/02/009Blastoise.png/250px-009Blastoise.png,9,Blastoise,Water,$,Yes,$,,79,83,100,85,105,78,Grass,Electric,,,,,
https://cdn.bulbagarden.net/upload/thumb/5/5d/010Caterpie.png/250px-010Caterpie.png,10,Caterpie,Bug,$,$,$,7,45,30,35,20,20,45,Flying,Rock,Fire,,,,
https://cdn.bulbagarden.net/upload/thumb/c/cd/011Metapod.png/250px-011Metapod.png,11,Metapod,Bug,$,$,$,10,50,20,55,25,25,30,Flying,Rock,Fire,,,,
https://cdn.bulbagarden.net/upload/thumb/d/d1/012Butterfree.png/250px-012Butterfree.png,12,Butterfree,Bug,Flying,$,$,,60,45,50,90,80,70,Flying,Rock,Fire,Electric,Ice,,
https://cdn.bulbagarden.net/upload/thumb/d/df/013Weedle.png/250px-013Weedle.png,13,Weedle,Bug,Poison,$,$,7,40,35,30,20,20,50,Flying,Rock,Fire,Psychic,,,
https://cdn.bulbagarden.net/upload/thumb/f/f0/014Kakuna.png/250px-014Kakuna.png,14,Kakuna,Bug,Poison,$,$,10,45,25,50,25,25,35,Flying,Rock,Fire,Psychic,,,
https://cdn.bulbagarden.net/upload/thumb/6/61/015Beedrill.png/250px-015Beedrill.png,15,Beedrill,Bug,Poison,Yes,$,,65,80,40,45,80,75,Flying,Rock,Fire,Psychic,,,
https://cdn.bulbagarden.net/upload/thumb/5/55/016Pidgey.png/250px-016Pidgey.png,16,Pidgey,Normal,Flying,$,$,18,40,45,40,35,35,56,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/7/7a/017Pidgeotto.png/250px-017Pidgeotto.png,17,Pideotto,Normal,Flying,$,$,36,63,60,55,50,50,71,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/5/57/018Pidgeot.png/250px-018Pidgeot.png,18,Pidgeot,Normal,Flying,Yes,$,,83,80,75,70,70,91,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/4/46/019Rattata.png/250px-019Rattata.png,19,Rattata,Normal,$,$,19A,20,30,56,35,25,35,72,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/f/f4/020Raticate.png/250px-020Raticate.png,20,Raticate,Normal,$,$,20A,,55,81,60,50,70,97,Fighting,,,,,,
https://cdn.bulbagarden.net/upload/thumb/8/8b/021Spearow.png/250px-021Spearow.png,21,Spearow,Normal,Flying,$,$,20,40,60,30,31,31,70,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/a/a0/022Fearow.png/250px-022Fearow.png,22,Fearow,Normal,Flying,$,$,,65,90,65,61,61,100,Rock,Electric,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/f/fa/023Ekans.png/250px-023Ekans.png,23,Ekans,Poison,$,$,$,22,35,60,44,40,54,55,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/c/cd/024Arbok.png/250px-024Arbok.png,24,Arbok,Poison,$,$,$,,60,95,69,65,79,80,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/0/0d/025Pikachu.png/250px-025Pikachu.png,25,Pikachu,Electric,$,$,$,Thunder Stone,35,55,40,50,50,90,Ground,,,,,,
https://cdn.bulbagarden.net/upload/thumb/8/88/026Raichu.png/250px-026Raichu.png,26,Raichu,Electric,$,$,26A,,60,90,55,90,80,110,Ground,,,,,,
https://cdn.bulbagarden.net/upload/thumb/9/9e/027Sandshrew.png/250px-027Sandshrew.png,27,Sandshrew,Ground,$,$,27A,22,50,75,85,20,30,40,Water,Grass,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/0/0b/028Sandslash.png/250px-028Sandslash.png,28,Sandslash,Ground,$,$,28A,,75,100,110,45,55,65,Water,Grass,Ice,,,,
https://cdn.bulbagarden.net/upload/thumb/8/81/029Nidoran.png/250px-029Nidoran.png,29,Nidoran-F,Poison,$,$,$,16,55,47,52,40,40,41,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/c/cd/030Nidorina.png/250px-030Nidorina.png,30,Nidorina,Poison,$,$,$,Moon Stone,70,62,67,55,55,56,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/b/bf/031Nidoqueen.png/250px-031Nidoqueen.png,31,Nidoqueen,Poison,Ground,$,$,,90,92,87,75,85,76,Ground,Water,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/4/4a/032Nidoran.png/250px-032Nidoran.png,32,Nidoran-M,Poison,$,$,$,16,46,57,40,40,40,50,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/9/9f/033Nidorino.png/250px-033Nidorino.png,33,Nidorino,Poison,$,$,$,Moon Stone,61,72,57,55,55,65,Ground,Psychic,,,,,
https://cdn.bulbagarden.net/upload/thumb/c/c6/034Nidoking.png/250px-034Nidoking.png,34,Nidoking,Poison,Ground,$,$,,81,102,77,85,75,85,Ground,Water,Psychic,Ice,,,
https://cdn.bulbagarden.net/upload/thumb/f/f4/035Clefairy.png/250px-035Clefairy.png,35,Clefairy,Fairy,$,$,$,Moon Stone,70,45,48,60,65,35,Poison,Steel,,,,,
https://cdn.bulbagarden.net/upload/thumb/a/a9/036Clefable.png/250px-036Clefable.png,36,Clefable,Fairy,$,$,$,,95,70,73,95,90,60,Poison,Steel,,,,,
https://cdn.bulbagarden.net/upload/thumb/6/60/037Vulpix.png/250px-037Vulpix.png,37,Vulpix,Fire,$,$,37A,Fire Stone,38,41,40,50,65,65,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/0/05/038Ninetales.png/250px-038Ninetales.png,38,Ninetails,Fire,$,$,38A,,73,76,75,81,100,100,Ground,Rock,Water,,,,
https://cdn.bulbagarden.net/upload/thumb/3/3e/039Jigglypuff.png/250px-039Jigglypuff.png,39,Jigglypuff,Normal,Fairy,$,$,Moon Stone,115,45,20,45,25,20,Poison,Steel,,,,,
